trip_id,start_time,end_time,headway_secs
14M_14M_S_1_1_0.22917,05:30:00,05:40:00,600
14M_14M_S_1_10_0.27292,06:25:30,06:33:30,480
14M_14M_S_1_19_0.31528,07:07:30,07:43:30,180
14M_14M_S_1_29_0.35903,08:33:30,08:53:30,240
14M_14M_S_1_37_0.40000,09:21:30,09:46:30,300
14M_14M_S_1_1_0.44028,08:58:30,14:46:30,360
14M_14M_S_1_8_0.47778,09:46:30,15:04:30,360
14M_14M_S_1_14_0.51528,08:58:30,14:46:30,360
14M_14M_S_1_19_0.55278,09:46:30,15:04:30,360
14M_14M_S_1_24_0.59028,08:58:30,14:46:30,360
14M_14M_S_1_30_0.62778,09:46:30,15:04:30,360
14M_14M_S_1_37_0.66875,15:23:30,17:11:30,240
14M_14M_S_1_5_0.71042,16:30:00,17:03:00,165
14M_14M_S_1_41_0.64167,15:19:30,15:28:30,270
14M_14M_S_1_6_0.68264,15:23:30,17:11:30,240
14M_14M_S_1_13_0.72361,17:10:00,17:50:00,240
14M_14M_S_1_22_0.76458,18:16:30,18:34:30,270
14M_14M_S_1_28_0.80208,18:36:45,19:15:45,390
14M_14M_S_1_32_0.84167,19:57:00,21:19:30,450
14M_14M_S_1_37_0.88125,21:00:45,21:09:00,495
14M_14M_S_1_8_0.92639,21:36:15,22:52:15,570
14M_14M_S_1_13_0.96875,23:06:00,23:25:30,585
14M_14M_S_1_29_1.01806,24:14:00,24:38:00,720
14M_14M_S_1_24_0.29236,06:57:00,07:21:00,240
14M_14M_S_1_30_0.33264,07:43:30,08:27:30,240
14M_14M_S_1_38_0.37361,08:53:30,08:58:30,300
14M_14M_S_1_6_0.41528,09:46:30,15:04:30,360
14M_14M_S_1_11_0.45278,08:58:30,14:46:30,360
14M_14M_S_1_16_0.49028,09:46:30,15:04:30,360
14M_14M_S_1_23_0.52778,08:58:30,14:46:30,360
14M_14M_S_1_29_0.56528,09:46:30,15:04:30,360
14M_14M_S_1_35_0.60278,08:58:30,14:46:30,360
14M_14M_S_1_1_0.64444,15:19:30,15:28:30,270
14M_14M_S_1_8_0.68542,15:23:30,17:11:30,240
14M_14M_S_1_14_0.72639,17:10:00,17:50:00,240
14M_14M_S_1_23_0.76736,18:16:30,18:34:30,270
14M_14M_S_1_29_0.80764,19:15:45,21:00:45,450
14M_14M_S_1_34_0.84653,19:57:00,21:19:30,450
14M_14M_S_1_3_0.88681,21:09:00,22:19:00,525
14M_14M_S_1_12_0.93264,21:36:15,22:52:15,570
14M_14M_S_1_16_0.97569,23:06:00,23:25:30,585
14M_14M_S_1_32_1.02639,24:14:00,24:38:00,720
14M_14M_S_1_19_0.25486,05:58:30,06:07:00,510
14M_14M_S_1_25_0.29514,06:57:00,07:21:00,240
14M_14M_S_1_35_0.33542,07:43:30,08:27:30,240
14M_14M_S_1_41_0.37778,08:58:30,14:46:30,360
14M_14M_S_1_26_0.29792,06:57:00,07:21:00,240
14M_14M_S_1_36_0.33819,07:43:30,08:27:30,240
14M_14M_S_1_3_0.64722,15:28:30,15:37:00,255
14M_14M_S_1_11_0.68819,15:23:30,17:11:30,240
14M_14M_S_1_16_0.72917,17:10:00,17:50:00,240
14M_14M_S_1_27_0.77083,18:16:30,18:34:30,270
14M_14M_S_1_29_0.30069,06:57:00,07:21:00,240
14M_14M_S_1_37_0.34097,07:43:30,08:27:30,240
14M_14M_S_1_1_0.38194,08:58:30,14:46:30,360
14M_14M_S_1_8_0.41944,09:46:30,15:04:30,360
14M_14M_S_1_14_0.45694,08:58:30,14:46:30,360
14M_14M_S_1_19_0.49444,09:46:30,15:04:30,360
14M_14M_S_1_24_0.53194,08:58:30,14:46:30,360
14M_14M_S_1_30_0.56944,09:46:30,15:04:30,360
14M_14M_S_1_37_0.60694,08:58:30,14:46:30,360
